Timestamp,CameraModel (W),CameraModel Utilization,ens2 (W),ens2 Utilization (pps),CPUMaxIdleModel (W),CPUMaxIdleModel Utilization (%)
1718896761,0,False,0.099000,0,12.25,"[0.0, 0.0, 0.0, 100.0]"
1718896762,0,False,0.149400,10,2.3895,"[0.0, 0.0, 0.0, 3.8]"
1718896763,0,False,0.154440,11,2.68675,"[0.0, 0.0, 1.9, 4.8]"
1718896764,1.097856,False,0.169560,14,15.099499999999999,"[15.5, 27.5, 37.8, 47.0]"
1718896765,1.097856,False,0.285510,410,3.7424999999999997,"[0.9, 3.5, 1.8, 10.8]"
1718896766,1.097856,False,0.260190,290,3.4042499999999993,"[3.6, 0.9, 0.9, 8.3]"
1718896767,1.097856,False,0.276437,367,3.3119999999999994,"[0.9, 0.9, 1.8, 9.2]"
1718896769,1.097856,True,0.258080,280,2.7995,"[2.9, 1.0, 1.0, 2.9]"
1718896770,1.097856,True,0.258713,283,3.3324999999999996,"[6.5, 2.8, 2.8, 0.9]"
1718896771,1.097856,True,0.267786,326,2.41,"[2.0, 0.0, 2.0, 0.0]"
1718896772,1.097856,True,0.265887,317,3.23,"[8.3, 0.0, 3.7, 0.0]"
1718896773,1.097856,True,0.275804,364,3.21975,"[9.2, 0.0, 2.7, 0.0]"
1718896774,1.097856,True,0.265043,313,3.03525,"[8.3, 0.0, 1.8, 0.0]"
1718896775,1.097856,True,0.261456,296,2.7995,"[3.9, 0.0, 2.9, 1.0]"
1718896776,1.097856,True,0.283189,399,3.3324999999999996,"[8.3, 0.9, 1.9, 1.9]"
1718896777,1.097856,True,0.272217,347,3.28125,"[10.7, 0.0, 0.9, 0.9]"
1718896778,1.097856,True,0.265043,313,3.588749999999999,"[9.2, 0.9, 3.6, 1.8]"
1718896779,1.097856,True,0.265887,317,3.11725,"[9.1, 0.9, 0.9, 0.0]"
1718896780,1.097856,True,0.258924,284,3.588749999999999,"[9.2, 0.9, 4.5, 0.9]"
1718896781,1.097856,True,0.256603,273,3.21975,"[9.2, 0.0, 2.7, 0.0]"
1718896783,1.097856,True,0.279602,382,3.2197499999999994,"[8.3, 0.9, 0.9, 1.8]"
1718896784,1.097856,True,0.278758,378,3.107,"[9.9, 0.0, 0.0, 0.9]"
1718896785,1.097856,True,0.272217,347,3.312,"[10.1, 0.0, 1.8, 0.9]"
1718896786,1.097856,True,0.257025,275,3.19925,"[10.8, 0.0, 0.9, 0.0]"
1718896787,1.097856,True,0.266309,319,2.984,"[2.9, 1.9, 1.0, 3.8]"
1718896788,1.097856,True,0.270318,338,2.97375,"[1.9, 0.0, 1.9, 5.7]"
1718896789,1.097856,False,0.282767,397,4.08075,"[3.3, 2.5, 0.0, 14.5]"
1718896790,1.097856,False,0.249851,241,3.46575,"[0.9, 1.8, 0.9, 10.7]"
1718896791,1.097856,False,0.278547,377,3.3119999999999994,"[0.0, 1.8, 3.6, 7.4]"
1718896792,1.097856,False,0.251961,251,3.38375,"[0.0, 0.9, 2.7, 9.9]"
1718896794,1.097856,False,0.252805,255,2.39975,"[1.9, 0.0, 0.0, 2.0]"
1718896795,1.097856,False,0.275804,364,3.1377499999999996,"[0.9, 1.9, 0.9, 7.4]"
1718896796,0,False,0.207229,39,5.7002500000000005,"[8.9, 10.6, 7.8, 8.8]"
1718896797,0,False,0.159480,12,2.66625,"[0.0, 0.0, 0.0, 6.5]"
1718896798,0,False,0.159480,12,2.8507499999999997,"[0.0, 0.0, 0.0, 8.3]"
1718896799,0,False,0.154440,11,2.697,"[3.8, 1.0, 1.0, 1.0]"
1718896800,0,False,0.149400,10,2.5945,"[4.8, 0.0, 0.0, 1.0]"
1718896801,0,False,0.159480,12,2.93275,"[9.1, 0.0, 0.0, 0.0]"
1718896802,0,False,0.159480,12,3.107,"[9.9, 0.9, 0.0, 0.0]"
1718896803,0,False,0.154440,11,2.8507499999999997,"[8.3, 0.0, 0.0, 0.0]"
1718896804,0,False,0.159480,12,3.0147500000000003,"[9.9, 0.0, 0.0, 0.0]"
1718896805,0,False,0.154440,11,2.9429999999999996,"[8.3, 0.9, 0.0, 0.0]"
